trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,ema_12,ema_26,dif,dea,macd_bar,bb_middle,bb_upper,bb_lower,bb_bandwidth,tr,atr_14,atr_pct,stock_name,ts_code,data_source
2026-04-13,418.0,433.33,416.0,427.13,416.0,11.13,2.68,412399,17625505878.0,61.53634361233479,402.8234750116567,394.847448488563,7.976026523093708,7.859910866774178,0.23223131263906005,403.072,424.3994970525425,381.74450294745753,0.10582475117369834,17.329999999999984,16.21214285714285,3.795599198638085,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-14,421.5,432.49,414.4,430.79,427.13,3.66,0.86,442208,18663656302.0,65.7034008548597,407.12601731755564,397.5098597116324,9.616157605923263,8.211160214603995,2.8099947826385367,404.1915,428.79543402432984,379.5875659756702,0.12174394575012001,18.090000000000032,15.797142857142855,3.6670170749420494,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-15,438.88,439.46,427.07,431.0,430.79,0.21,0.05,373536,16122379460.0,65.50789645827493,410.7989377302394,399.990610844104,10.808326886135376,8.73059354891027,4.15546667445021,405.4915,432.86675373109796,378.116246268902,0.1350225774453866,12.389999999999986,15.774999999999997,3.6600928074245935,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-16,441.0,460.0,433.02,453.98,431.0,22.98,5.33,635062,28517416468.0,70.54269752593774,417.44217807943335,403.9898248556519,13.452353223781472,9.674945483884512,7.55481547979392,408.0895,442.9237320894697,373.2552679105303,0.1707185903556436,29.0,16.294999999999995,3.5893651702718166,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-17,455.96,457.64,441.01,444.2,453.98,-9.78,-2.15,365358,16290232435.0,61.54036243822074,421.55876606721284,406.9683563478258,14.590409719387026,10.658038330985015,7.864742776804022,410.2745,448.4283323797628,372.12066762023716,0.1859917317784207,16.629999999999995,16.297142857142855,3.668875024120409,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-20,433.0,437.9,426.01,432.5,444.2,-11.7,-2.63,529278,22768028849.0,57.50461822660098,423.2420328261032,408.8595892109498,14.382443615153363,11.402919387818685,5.959048454669357,411.2495,450.6721167920995,371.82688320790055,0.19172116582317772,18.189999999999998,16.65,3.849710982658959,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-21,435.0,450.13,425.1,447.6,432.5,15.1,3.49,577746,25412275748.0,67.16272808854322,426.98941239131807,411.729249269398,15.260163121920073,12.174368134638963,6.17158997456222,413.53000000000003,455.86645884303863,371.19354115696143,0.2047564086912127,25.029999999999973,17.339999999999996,3.873994638069704,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-22,441.01,447.97,433.13,436.35,447.6,-11.25,-2.51,460254,20173924647.0,60.86833144154371,428.42950279265375,413.55300858277593,14.87649420987782,12.714793349686735,4.323401720382169,415.49800000000005,458.25436024093386,372.74163975906623,0.2058077788145012,14.840000000000032,17.409285714285712,3.989752655960974,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-23,443.5,443.6,435.0,438.9,436.35,2.55,0.58,354310,15566836621.0,63.57487227459161,430.0403485168609,415.4305635025703,14.609785014290594,13.093791682607508,3.0319866633661725,417.55249999999995,460.6774688939613,374.4275311060386,0.2065607026372078,8.600000000000023,16.967142857142854,3.8658334147055946,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-24,442.0,448.45,438.0,444.9,438.9,6.0,1.37,395425,17517374359.0,72.43205895900506,432.32644874503615,417.61348472460213,14.712964020434015,13.41762615017281,2.5906757405224106,419.67249999999996,463.8379639425765,375.5070360574234,0.21047585411279768,10.449999999999989,16.56785714285714,3.7239508075651027,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
